TIME,LABEL,Structure
20.874739229,Applause,Applause
29.048163265,Speech,Speech
197.485714286,Prime,Prime
203.685442177,Music,Music
303.345487528,Applause,Applause
315.907482993,Speech,Speech
325.892063492,Music,Music
425.43600907,Applause,Applause
435.884988662,Speech,Speech
470.807800454,Prime,Prime
474.546213152,Speech,Speech
479.724263039,Music,Music
634.160181406,Applause,Applause
648.76553288,Speech,Speech
698.340136054,Music,Music
827.048344671,Applause,Applause
840.144399093,Speech,Speech
872.489795918,Music,Music
1002.451882086,Applause,Applause
1017.475192744,Speech,Speech
1047.405714286,Prime,Prime
1052.096145125,Music,Music
1172.65414966,Applause,Applause
1184.937505669,Prime,Prime
1187.677460317,Music,Music
1311.764897959,Applause,Applause
1329.806802721,Speech,Speech
1350.170702948,Prime,Prime
1352.794557823,Speech,Speech
1362.477278912,Music,Music
1479.738049887,Applause,Applause
1507.903854875,End,End
